index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price,departure,arival
169,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → IDR → DEL",13:40,295,"1 stop",8707,"2019-01-03 13:40:00","2019-01-03 18:35:00"
170,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,1220,"1 stop",25735,"2019-01-03 22:50:00","2019-01-04 19:10:00"
171,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,470,"1 stop",26890,"2019-01-03 16:55:00","2019-01-04 00:45:00"
172,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BDQ → DEL",5:50,390,"1 stop",28097,"2019-01-03 05:50:00","2019-01-03 12:20:00"
173,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → DEL",11:05,525,"1 stop",14594,"2019-01-03 11:05:00","2019-01-03 19:50:00"
174,"Air India",2019-01-03,Kolkata,Banglore,"CCU → BLR",14:15,150,non-stop,6535,"2019-01-03 14:15:00","2019-01-03 16:45:00"
175,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",8:30,180,non-stop,10067,"2019-01-03 08:30:00","2019-01-03 11:30:00"
176,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1280,"1 stop",20800,"2019-01-03 11:40:00","2019-01-04 09:00:00"
177,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",9:35,165,non-stop,6565,"2019-01-03 09:35:00","2019-01-03 12:20:00"
178,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,495,"1 stop",26890,"2019-01-03 07:00:00","2019-01-03 15:15:00"
179,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,745,"1 stop",27992,"2019-01-03 08:55:00","2019-01-03 21:20:00"
180,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,580,"1 stop",27992,"2019-01-03 11:40:00","2019-01-03 21:20:00"
181,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",18:25,175,non-stop,12649,"2019-01-03 18:25:00","2019-01-03 21:20:00"
182,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",18:40,860,"1 stop",31825,"2019-01-03 18:40:00","2019-01-04 09:00:00"
183,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → BHO → DEL",8:50,875,"2 stops",26743,"2019-01-03 08:50:00","2019-01-03 23:25:00"
184,SpiceJet,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",22:45,85,non-stop,11005,"2019-01-03 22:45:00","2019-01-04 00:10:00"
185,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",7:30,290,"1 stop",8110,"2019-01-03 07:30:00","2019-01-03 12:20:00"
186,"Jet Airways Business",2019-01-03,Banglore,"New Delhi","BLR → MAA → DEL",9:45,280,"1 stop",57209,"2019-01-03 09:45:00","2019-01-03 14:25:00"
187,"Air India",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",23:00,1215,"1 stop",27430,"2019-01-03 23:00:00","2019-01-04 19:15:00"
188,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",21:20,175,non-stop,12649,"2019-01-03 21:20:00","2019-01-04 00:15:00"
189,"Multiple carriers",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",19:00,395,"1 stop",23533,"2019-01-03 19:00:00","2019-01-04 01:35:00"
190,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → IDR → DEL",6:45,1705,"2 stops",20999,"2019-01-03 06:45:00","2019-01-04 11:10:00"
191,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",18:40,365,"1 stop",35185,"2019-01-03 18:40:00","2019-01-04 00:45:00"
192,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",12:10,295,"1 stop",9694,"2019-01-03 12:10:00","2019-01-03 17:05:00"
193,"Air India",2019-01-03,Banglore,"New Delhi","BLR → MAA → DEL",11:50,725,"1 stop",26092,"2019-01-03 11:50:00","2019-01-03 23:55:00"
194,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,1325,"1 stop",26890,"2019-01-03 07:00:00","2019-01-04 05:05:00"
195,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → DEL",11:05,700,"1 stop",14069,"2019-01-03 11:05:00","2019-01-03 22:45:00"
196,IndiGo,2019-01-03,Chennai,Kolkata,"MAA → CCU",5:15,140,non-stop,7295,"2019-01-03 05:15:00","2019-01-03 07:35:00"
197,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → IDR → DEL",8:50,1580,"2 stops",19372,"2019-01-03 08:50:00","2019-01-04 11:10:00"
198,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",10:05,175,non-stop,10067,"2019-01-03 10:05:00","2019-01-03 13:00:00"
199,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:25,1120,"1 stop",11467,"2019-01-04 20:25:00","2019-01-05 15:05:00"
200,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → BLR",22:20,140,non-stop,3873,"2019-01-04 22:20:00","2019-01-05 00:40:00"
201,IndiGo,2019-01-04,Mumbai,Hyderabad,"BOM → HYD",9:10,90,non-stop,3342,"2019-01-04 09:10:00","2019-01-04 10:40:00"
202,Vistara,2019-01-04,Banglore,Delhi,"BLR → DEL",9:45,170,non-stop,5403,"2019-01-04 09:45:00","2019-01-04 12:35:00"
203,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1400,"1 stop",7064,"2019-01-04 18:55:00","2019-01-05 18:15:00"
204,"Air Asia",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",7:35,710,"1 stop",5192,"2019-01-04 07:35:00","2019-01-04 19:25:00"
205,"Air India",2019-01-04,Kolkata,Banglore,"CCU → IXR → DEL → BLR",5:50,1045,"2 stops",11516,"2019-01-04 05:50:00","2019-01-04 23:15:00"
206,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → AMD → BLR",10:00,1165,"2 stops",12639,"2019-01-04 10:00:00","2019-01-05 05:25:00"
207,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",9:35,575,"1 stop",9314,"2019-01-04 09:35:00","2019-01-04 19:10:00"
208,"Air India",2019-01-04,Banglore,Delhi,"BLR → DEL",21:05,170,non-stop,4441,"2019-01-04 21:05:00","2019-01-04 23:55:00"
209,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → COK → TRV → BLR",10:00,1470,"3 stops",12954,"2019-01-04 10:00:00","2019-01-05 10:30:00"
210,IndiGo,2019-01-04,Banglore,Delhi,"BLR → DEL",0:30,175,non-stop,4423,"2019-01-04 00:30:00","2019-01-04 03:25:00"
211,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1285,"1 stop",7064,"2019-01-04 18:55:00","2019-01-05 16:20:00"
212,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",15:15,175,non-stop,4544,"2019-01-04 15:15:00","2019-01-04 18:10:00"
213,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1495,"1 stop",7064,"2019-01-04 18:55:00","2019-01-05 19:50:00"
214,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,855,"1 stop",12681,"2019-01-04 06:30:00","2019-01-04 20:45:00"
215,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → AMD → BLR",7:00,1345,"2 stops",12219,"2019-01-04 07:00:00","2019-01-05 05:25:00"
216,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",6:00,165,non-stop,7229,"2019-01-04 06:00:00","2019-01-04 08:45:00"
217,Vistara,2019-01-04,Banglore,Delhi,"BLR → DEL",7:00,160,non-stop,5403,"2019-01-04 07:00:00","2019-01-04 09:40:00"
218,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,800,"1 stop",12681,"2019-01-04 06:30:00","2019-01-04 19:50:00"
219,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",11:10,175,non-stop,7229,"2019-01-04 11:10:00","2019-01-04 14:05:00"
220,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",14:25,150,non-stop,4174,"2019-01-04 14:25:00","2019-01-04 16:55:00"
221,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:00,1065,"1 stop",9187,"2019-01-04 17:00:00","2019-01-05 10:45:00"
222,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1400,"1 stop",12681,"2019-01-04 18:55:00","2019-01-05 18:15:00"
223,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1720,"1 stop",12681,"2019-01-04 18:55:00","2019-01-05 23:35:00"
224,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",17:45,180,non-stop,7229,"2019-01-04 17:45:00","2019-01-04 20:45:00"
225,SpiceJet,2019-01-04,Delhi,Cochin,"DEL → PNQ → COK",8:45,270,"1 stop",4812,"2019-01-04 08:45:00","2019-01-04 13:15:00"
226,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",17:30,1145,"1 stop",5406,"2019-01-04 17:30:00","2019-01-05 12:35:00"
227,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:30,745,"1 stop",7893,"2019-01-04 20:30:00","2019-01-05 08:55:00"
228,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",20:00,960,"1 stop",12681,"2019-01-04 20:00:00","2019-01-05 12:00:00"
229,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",7:10,975,"1 stop",7927,"2019-01-04 07:10:00","2019-01-04 23:25:00"
230,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",14:05,570,"1 stop",13364,"2019-01-04 14:05:00","2019-01-04 23:35:00"
231,GoAir,2019-01-04,Delhi,Cochin,"DEL → BOM → COK",10:35,540,"1 stop",5281,"2019-01-04 10:35:00","2019-01-04 19:35:00"
232,SpiceJet,2019-01-04,Mumbai,Hyderabad,"BOM → HYD",5:45,90,non-stop,1965,"2019-01-04 05:45:00","2019-01-04 07:15:00"
233,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,665,"1 stop",8849,"2019-01-04 21:10:00","2019-01-05 08:15:00"
234,"Air India",2019-01-04,Kolkata,Banglore,"CCU → HYD → BLR",19:00,890,"1 stop",4227,"2019-01-04 19:00:00","2019-01-05 09:50:00"
235,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → COK → BLR",10:00,920,"2 stops",10408,"2019-01-04 10:00:00","2019-01-05 01:20:00"
236,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",16:00,1235,"1 stop",5406,"2019-01-04 16:00:00","2019-01-05 12:35:00"
237,IndiGo,2019-01-04,Delhi,Cochin,"DEL → HYD → COK",7:35,275,"1 stop",5073,"2019-01-04 07:35:00","2019-01-04 12:10:00"
238,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → BLR",6:55,155,non-stop,3873,"2019-01-04 06:55:00","2019-01-04 09:30:00"
239,"Air India",2019-01-04,Kolkata,Banglore,"CCU → GAU → IMF → DEL → BLR",16:45,1830,"3 stops",8607,"2019-01-04 16:45:00","2019-01-05 23:15:00"
240,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",9:35,505,"1 stop",11467,"2019-01-04 09:35:00","2019-01-04 18:00:00"
241,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,450,"1 stop",13364,"2019-01-04 21:10:00","2019-01-05 04:40:00"
242,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:30,365,"1 stop",12681,"2019-01-04 16:30:00","2019-01-04 22:35:00"
243,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:30,1605,"1 stop",7211,"2019-01-04 20:30:00","2019-01-05 23:15:00"
244,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",18:55,185,non-stop,7229,"2019-01-04 18:55:00","2019-01-04 22:00:00"
245,"Air India",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:50,905,"1 stop",7893,"2019-01-04 16:50:00","2019-01-05 07:55:00"
246,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",20:00,1220,"1 stop",12681,"2019-01-04 20:00:00","2019-01-05 16:20:00"
247,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → BLR",9:00,145,non-stop,3873,"2019-01-04 09:00:00","2019-01-04 11:25:00"
248,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:25,800,"1 stop",14151,"2019-01-04 20:25:00","2019-01-05 09:45:00"
249,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",19:50,180,non-stop,7229,"2019-01-04 19:50:00","2019-01-04 22:50:00"
250,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",14:05,345,"1 stop",13364,"2019-01-04 14:05:00","2019-01-04 19:50:00"
251,"Jet Airways",2019-01-04,Mumbai,Hyderabad,"BOM → HYD",2:55,85,non-stop,2228,"2019-01-04 02:55:00","2019-01-04 04:20:00"
252,"Jet Airways",2019-01-04,Mumbai,Hyderabad,"BOM → HYD",7:05,85,non-stop,8040,"2019-01-04 07:05:00","2019-01-04 08:30:00"
253,"Air Asia",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",22:40,720,"1 stop",5192,"2019-01-04 22:40:00","2019-01-05 10:40:00"
254,IndiGo,2019-01-04,Delhi,Cochin,"DEL → HYD → COK",6:50,320,"1 stop",5298,"2019-01-04 06:50:00","2019-01-04 12:10:00"
255,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",7:10,1555,"1 stop",7980,"2019-01-04 07:10:00","2019-01-05 09:05:00"
256,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",9:35,165,non-stop,4174,"2019-01-04 09:35:00","2019-01-04 12:20:00"
257,"Air India",2019-01-04,Banglore,Delhi,"BLR → DEL",17:00,165,non-stop,5176,"2019-01-04 17:00:00","2019-01-04 19:45:00"
258,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,730,"1 stop",13364,"2019-01-04 21:10:00","2019-01-05 09:20:00"
259,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",20:00,960,"1 stop",7064,"2019-01-04 20:00:00","2019-01-05 12:00:00"
260,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → GAU → BLR",15:10,320,"1 stop",8567,"2019-01-04 15:10:00","2019-01-04 20:30:00"
261,"Air India",2019-01-04,Kolkata,Banglore,"CCU → HYD → BLR",19:00,580,"1 stop",4227,"2019-01-04 19:00:00","2019-01-05 04:40:00"
262,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → IXB → BLR",15:55,330,"1 stop",7646,"2019-01-04 15:55:00","2019-01-04 21:25:00"
263,GoAir,2019-01-04,Delhi,Cochin,"DEL → AMD → COK",7:25,370,"1 stop",4563,"2019-01-04 07:25:00","2019-01-04 13:35:00"
264,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,590,"1 stop",12996,"2019-01-04 06:30:00","2019-01-04 16:20:00"
265,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,590,"1 stop",7064,"2019-01-04 08:25:00","2019-01-04 18:15:00"
266,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → MAA → BLR",17:35,280,"1 stop",5699,"2019-01-04 17:35:00","2019-01-04 22:15:00"
267,IndiGo,2019-01-04,Banglore,Delhi,"BLR → DEL",16:55,180,non-stop,4823,"2019-01-04 16:55:00","2019-01-04 19:55:00"
268,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",11:30,155,non-stop,4174,"2019-01-04 11:30:00","2019-01-04 14:05:00"
269,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:25,870,"1 stop",11467,"2019-01-04 20:25:00","2019-01-05 10:55:00"
270,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1660,"1 stop",7064,"2019-01-04 18:55:00","2019-01-05 22:35:00"
271,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",20:00,1430,"1 stop",7064,"2019-01-04 20:00:00","2019-01-05 19:50:00"
272,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1285,"1 stop",12681,"2019-01-04 18:55:00","2019-01-05 16:20:00"
273,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:00,385,"1 stop",8610,"2019-01-04 17:00:00","2019-01-04 23:25:00"
274,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:00,965,"1 stop",8662,"2019-01-04 17:00:00","2019-01-05 09:05:00"
275,"Air India",2019-01-04,Kolkata,Banglore,"CCU → GAU → DEL → BLR",16:45,970,"2 stops",9920,"2019-01-04 16:45:00","2019-01-05 08:55:00"
276,"Air India",2019-01-04,Kolkata,Banglore,"CCU → GAU → DEL → BLR",16:45,1830,"2 stops",9237,"2019-01-04 16:45:00","2019-01-05 23:15:00"
277,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,1545,"1 stop",7064,"2019-01-04 06:30:00","2019-01-05 08:15:00"
278,"Air Asia",2019-01-04,Kolkata,Banglore,"CCU → BBI → BLR",6:50,220,"1 stop",5162,"2019-01-04 06:50:00","2019-01-04 10:30:00"
279,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → BLR",9:00,145,non-stop,3841,"2019-01-04 09:00:00","2019-01-04 11:25:00"
280,SpiceJet,2019-01-04,Banglore,Delhi,"BLR → DEL",9:30,170,non-stop,3971,"2019-01-04 09:30:00","2019-01-04 12:20:00"
281,"Air India",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:50,1540,"1 stop",7893,"2019-01-04 16:50:00","2019-01-05 18:30:00"
282,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",17:15,155,non-stop,4174,"2019-01-04 17:15:00","2019-01-04 19:50:00"
283,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,585,"1 stop",12681,"2019-01-04 18:55:00","2019-01-05 04:40:00"
284,IndiGo,2019-01-04,Delhi,Cochin,"DEL → MAA → COK",2:00,325,"1 stop",5164,"2019-01-04 02:00:00","2019-01-04 07:25:00"
285,SpiceJet,2019-01-04,Banglore,Delhi,"BLR → DEL",5:55,160,non-stop,3919,"2019-01-04 05:55:00","2019-01-04 08:35:00"
286,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:30,925,"1 stop",7893,"2019-01-04 17:30:00","2019-01-05 08:55:00"
287,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:20,1625,"1 stop",7927,"2019-01-04 20:20:00","2019-01-05 23:25:00"
288,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",9:35,690,"1 stop",8066,"2019-01-04 09:35:00","2019-01-04 21:05:00"
289,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",20:20,155,non-stop,4488,"2019-01-04 20:20:00","2019-01-04 22:55:00"
290,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:30,1640,"1 stop",7064,"2019-01-04 16:30:00","2019-01-05 19:50:00"
291,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",7:10,790,"1 stop",8452,"2019-01-04 07:10:00","2019-01-04 20:20:00"
292,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,800,"1 stop",7064,"2019-01-04 06:30:00","2019-01-04 19:50:00"
293,IndiGo,2019-01-04,Banglore,Delhi,"BLR → DEL",10:10,170,non-stop,3943,"2019-01-04 10:10:00","2019-01-04 13:00:00"
294,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",7:10,180,non-stop,7229,"2019-01-04 07:10:00","2019-01-04 10:10:00"
295,"Jet Airways",2019-01-04,Mumbai,Hyderabad,"BOM → HYD",2:55,85,non-stop,5678,"2019-01-04 02:55:00","2019-01-04 04:20:00"
296,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",18:15,1485,"1 stop",5406,"2019-01-04 18:15:00","2019-01-05 19:00:00"
297,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:30,425,"1 stop",12681,"2019-01-04 16:30:00","2019-01-04 23:35:00"
298,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,775,"1 stop",13784,"2019-01-04 21:10:00","2019-01-05 10:05:00"
299,IndiGo,2019-01-04,Kolkata,Banglore,"CCU → BLR",15:30,155,non-stop,4174,"2019-01-04 15:30:00","2019-01-04 18:05:00"
300,"Air India",2019-01-04,Kolkata,Banglore,"CCU → BLR",20:45,155,non-stop,4460,"2019-01-04 20:45:00","2019-01-04 23:20:00"
301,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → BLR",22:20,140,non-stop,3841,"2019-01-04 22:20:00","2019-01-05 00:40:00"
302,"Air Asia",2019-01-04,Kolkata,Banglore,"CCU → BLR",22:50,150,non-stop,4107,"2019-01-04 22:50:00","2019-01-05 01:20:00"
303,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",10:00,795,"1 stop",7893,"2019-01-04 10:00:00","2019-01-04 23:15:00"
304,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → VGA → BLR",7:00,1620,"2 stops",9836,"2019-01-04 07:00:00","2019-01-05 10:00:00"
305,"Air India",2019-01-04,Kolkata,Banglore,"CCU → DEL → AMD → BLR",7:00,1345,"2 stops",12849,"2019-01-04 07:00:00","2019-01-05 05:25:00"
306,"Air India",2019-01-04,Kolkata,Banglore,"CCU → MAA → BLR",14:35,1485,"1 stop",5006,"2019-01-04 14:35:00","2019-01-05 15:20:00"
307,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",10:00,1595,"1 stop",5406,"2019-01-04 10:00:00","2019-01-05 12:35:00"
308,"Air Asia",2019-01-04,Kolkata,Banglore,"CCU → BLR",19:55,150,non-stop,3807,"2019-01-04 19:55:00","2019-01-04 22:25:00"
309,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,685,"1 stop",7064,"2019-01-04 08:25:00","2019-01-04 19:50:00"
310,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,590,"1 stop",12681,"2019-01-04 08:25:00","2019-01-04 18:15:00"
311,GoAir,2019-01-04,Kolkata,Banglore,"CCU → AMD → BLR",16:40,455,"1 stop",5171,"2019-01-04 16:40:00","2019-01-05 00:15:00"
312,IndiGo,2019-01-04,Banglore,Delhi,"BLR → DEL",1:30,165,non-stop,4423,"2019-01-04 01:30:00","2019-01-04 04:15:00"
313,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:00,355,"1 stop",8977,"2019-01-04 17:00:00","2019-01-04 22:55:00"
314,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",9:35,690,"1 stop",10953,"2019-01-04 09:35:00","2019-01-04 21:05:00"
315,"Jet Airways",2019-01-04,Banglore,Delhi,"BLR → DEL",6:00,165,non-stop,4544,"2019-01-04 06:00:00","2019-01-04 08:45:00"
316,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,450,"1 stop",8849,"2019-01-04 21:10:00","2019-01-05 04:40:00"
317,"Air India",2019-01-04,Kolkata,Banglore,"CCU → BBI → BOM → BLR",12:00,1830,"2 stops",9258,"2019-01-04 12:00:00","2019-01-05 18:30:00"
318,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",18:55,1720,"1 stop",7064,"2019-01-04 18:55:00","2019-01-05 23:35:00"
319,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",21:10,730,"1 stop",8849,"2019-01-04 21:10:00","2019-01-05 09:20:00"
320,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,1495,"1 stop",7064,"2019-01-04 08:25:00","2019-01-05 09:20:00"
321,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:30,1695,"1 stop",7064,"2019-01-04 16:30:00","2019-01-05 20:45:00"
322,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",9:35,575,"1 stop",11467,"2019-01-04 09:35:00","2019-01-04 19:10:00"
323,"Air India",2019-01-04,Mumbai,Hyderabad,"BOM → HYD",21:05,80,non-stop,2050,"2019-01-04 21:05:00","2019-01-04 22:25:00"
324,SpiceJet,2019-01-04,Kolkata,Banglore,"CCU → MAA → BLR",15:05,315,"1 stop",4649,"2019-01-04 15:05:00","2019-01-04 20:20:00"
325,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",20:20,1440,"1 stop",8452,"2019-01-04 20:20:00","2019-01-05 20:20:00"
326,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",20:00,1485,"1 stop",7064,"2019-01-04 20:00:00","2019-01-05 20:45:00"
327,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,850,"1 stop",7064,"2019-01-04 08:25:00","2019-01-04 22:35:00"
328,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",16:30,425,"1 stop",7064,"2019-01-04 16:30:00","2019-01-04 23:35:00"
329,IndiGo,2019-01-04,Delhi,Cochin,"DEL → BOM → COK",20:25,305,"1 stop",5073,"2019-01-04 20:25:00","2019-01-05 01:30:00"
330,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",22:50,825,"1 stop",5177,"2019-01-04 22:50:00","2019-01-05 12:35:00"
331,"Air India",2019-01-04,Kolkata,Banglore,"CCU → BLR",14:15,150,non-stop,6245,"2019-01-04 14:15:00","2019-01-04 16:45:00"
332,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",6:30,590,"1 stop",7851,"2019-01-04 06:30:00","2019-01-04 16:20:00"
333,"Air India",2019-01-04,Kolkata,Banglore,"CCU → GAU → DEL → BLR",16:45,1155,"2 stops",9920,"2019-01-04 16:45:00","2019-01-05 12:00:00"
334,"Jet Airways",2019-01-04,Delhi,Cochin,"DEL → BOM → COK",10:00,540,"1 stop",5406,"2019-01-04 10:00:00","2019-01-04 19:00:00"
335,"Jet Airways",2019-01-04,Kolkata,Banglore,"CCU → BOM → BLR",8:25,685,"1 stop",12681,"2019-01-04 08:25:00","2019-01-04 19:50:00"
336,IndiGo,2019-01-04,Banglore,Delhi,"BLR → DEL",4:00,170,non-stop,3943,"2019-01-04 04:00:00","2019-01-04 06:50:00"
337,SpiceJet,2019-01-04,Delhi,Cochin,"DEL → MAA → COK",6:05,315,"1 stop",5351,"2019-01-04 06:05:00","2019-01-04 11:20:00"
338,Vistara,2019-01-04,Kolkata,Banglore,"CCU → DEL → BLR",17:00,1550,"1 stop",8610,"2019-01-04 17:00:00","2019-01-05 18:50:00"
